customer_id,basket,basket_items,basket_size
75689161,"34,13,42,11,5,10,30,6","[34, 13, 42, 11, 5, 10, 30, 6]",8
37394281,"25,32,10,3","[25, 32, 10, 3]",4
80002250,"24,12,42,45,16,8","[24, 12, 42, 45, 16, 8]",6
24795952,"34,13,37","[34, 13, 37]",3
99012405,"14,4,3,2,45,38,33,44,10,35,37,42,27,12,7,21,39,34","[14, 4, 3, 2, 45, 38, 33, 44, 10, 35, 37, 42, 27, 12, 7, 21, 39, 34]",18
37566879,"47,6,2,3,4","[47, 6, 2, 3, 4]",5
59292646,"43,42,32,46,28,38,36,23,17,33,24,1,37,14,2,8,19,13","[43, 42, 32, 46, 28, 38, 36, 23, 17, 33, 24, 1, 37, 14, 2, 8, 19, 13]",18
22300046,"37,35,47,6,20,30,48,25,32,13,7,22","[37, 35, 47, 6, 20, 30, 48, 25, 32, 13, 7, 22]",12
13495004,"35,46,48,25,22,15,26,2,18,3","[35, 46, 48, 25, 22, 15, 26, 2, 18, 3]",10
24165703,"18,34,25,2,47,27,45","[18, 34, 25, 2, 47, 27, 45]",7
35049489,"14,9,38,43","[14, 9, 38, 43]",4
21508978,"28,22,40,13,26,2,37,34,6,41,1,27,39","[28, 22, 40, 13, 26, 2, 37, 34, 6, 41, 1, 27, 39]",13
83029922,"41,26,46,25","[41, 26, 46, 25]",4
779752,"24,15,43,34,45,13,47,6,1,39","[24, 15, 43, 34, 45, 13, 47, 6, 1, 39]",10
97501664,"21,16,3,31,14,9,11,5,39","[21, 16, 3, 31, 14, 9, 11, 5, 39]",9
64744381,"38,23,9,47,40,42,28,44,10","[38, 23, 9, 47, 40, 42, 28, 44, 10]",9
13194862,"7,4,2,1,39","[7, 4, 2, 1, 39]",5
98793438,"11,9,38","[11, 9, 38]",3
52385188,"9,23","[9, 23]",2
50198138,"14,21,44,27,18,2,3,13,37,39,41,17","[14, 21, 44, 27, 18, 2, 3, 13, 37, 39, 41, 17]",12
55616051,"10,3,14,2,26,28,4,23,39,44,1","[10, 3, 14, 2, 26, 28, 4, 23, 39, 44, 1]",11
25319531,"37,42,12,41","[37, 42, 12, 41]",4
34069794,"32,45,25,18,26,1,27,6","[32, 45, 25, 18, 26, 1, 27, 6]",8
69378829,"41,28,17,36,26,34,13,23,6,47,31,40","[41, 28, 17, 36, 26, 34, 13, 23, 6, 47, 31, 40]",12
88698553,"9,16,48,46,11,14,23,41,35,44,27,3,2","[9, 16, 48, 46, 11, 14, 23, 41, 35, 44, 27, 3, 2]",13
3102283,"12,17,20,41,26,6,11,48,8,21,47,22,5,38,14,35","[12, 17, 20, 41, 26, 6, 11, 48, 8, 21, 47, 22, 5, 38, 14, 35]",16
99183773,"26,2,14,21,11,28,44","[26, 2, 14, 21, 11, 28, 44]",7
76139975,"20,36,43,38,13,16,14,8,2,40,4,31,11","[20, 36, 43, 38, 13, 16, 14, 8, 2, 40, 4, 31, 11]",13
56683901,"1,34,5,2,25","[1, 34, 5, 2, 25]",5
54550522,"10,36,13,26,34,20,25,19,42,5,31,28,41,8,45,2","[10, 36, 13, 26, 34, 20, 25, 19, 42, 5, 31, 28, 41, 8, 45, 2]",16
49579855,"32,27,1,10,40,39,37,45,38,2","[32, 27, 1, 10, 40, 39, 37, 45, 38, 2]",10
25633146,"3,1,15,7,24","[3, 1, 15, 7, 24]",5
63160651,"6,23,46,10,2","[6, 23, 46, 10, 2]",5
51526109,"20,46,10,19,18,12,7,24,17,39,28,2,22,1,41","[20, 46, 10, 19, 18, 12, 7, 24, 17, 39, 28, 2, 22, 1, 41]",15
9505873,"23,47,9,6,37,2,20","[23, 47, 9, 6, 37, 2, 20]",7
92843744,"2,42,44,25,20,10,38,18,32,40,47,6","[2, 42, 44, 25, 20, 10, 38, 18, 32, 40, 47, 6]",12
4625094,"41,40,27,9,39,6,26,48,43","[41, 40, 27, 9, 39, 6, 26, 48, 43]",9
98953023,"1,13,23,15,42,2,47,34,38","[1, 13, 23, 15, 42, 2, 47, 34, 38]",9
16786160,"17,47,43,23,2,6,48,16,28,12,29","[17, 47, 43, 23, 2, 6, 48, 16, 28, 12, 29]",11
32507297,"6,15,14,42,44,2,16,23,43,38,9,46,17","[6, 15, 14, 42, 44, 2, 16, 23, 43, 38, 9, 46, 17]",13
28525657,"4,22,23,21,27,18,28,25,1","[4, 22, 23, 21, 27, 18, 28, 25, 1]",9
80891170,"42,36,22,41,25,20,8,16","[42, 36, 22, 41, 25, 20, 8, 16]",8
35717188,"2,45,40,11,47,9,17","[2, 45, 40, 11, 47, 9, 17]",7
251936,"21,3,26,28,31,27,2,25,24,1,43,17,37,39,5,36,34,38,12,8","[21, 3, 26, 28, 31, 27, 2, 25, 24, 1, 43, 17, 37, 39, 5, 36, 34, 38, 12, 8]",20
4857679,"33,7,8,36,29,12","[33, 7, 8, 36, 29, 12]",6
91925073,"4,48,18,25,32","[4, 48, 18, 25, 32]",5
20430098,"42,10,40,32,46,25,30,2,31,43,23","[42, 10, 40, 32, 46, 25, 30, 2, 31, 43, 23]",11
83952662,"40,20,32,26,22","[40, 20, 32, 26, 22]",5
93706749,"48,21,2,32,46,39,26,33,9,22,17","[48, 21, 2, 32, 46, 39, 26, 33, 9, 22, 17]",11
5072972,"2,39,32,20,47,45,35,17,6,40,28,23,38,25,34,13","[2, 39, 32, 20, 47, 45, 35, 17, 6, 40, 28, 23, 38, 25, 34, 13]",16
42366011,"47,39,23,33","[47, 39, 23, 33]",4
14209460,"3,39,1,7,27,20,35,12,46,43,9,4","[3, 39, 1, 7, 27, 20, 35, 12, 46, 43, 9, 4]",12
5440162,"13,10,42,44,22,36,39","[13, 10, 42, 44, 22, 36, 39]",7
38228485,"6,47,20,2,40,32,5,22,36,15,26","[6, 47, 20, 2, 40, 32, 5, 22, 36, 15, 26]",11
9915969,"46,25,8,14,10","[46, 25, 8, 14, 10]",5
95317627,"46,34,39,32,20,40","[46, 34, 39, 32, 20, 40]",6
14931854,"32,1,40,9,27,22,15","[32, 1, 40, 9, 27, 22, 15]",7
66654900,"47,40,46,2,3,22,41,39,34,37","[47, 40, 46, 2, 3, 22, 41, 39, 34, 37]",10
