antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
Skirt|Sweatshirt,Dressing Gown|Stockings,0.0819473510298491,0.08109373278995484,0.018339024121599296,0.22379032258064518,2.759650035598883,1.0,0.011693607534340083,1.1838376845095648,0.6945519004307248,0.1267364414843007,0.15528960339332684,0.2249681663837012
Dressing Gown|Stockings,Skirt|Sweatshirt,0.08109373278995484,0.0819473510298491,0.018339024121599296,0.22614601018675723,2.759650035598883,1.0,0.011693607534340083,1.1863383287481766,0.693906696244055,0.1267364414843007,0.15707014115003826,0.2249681663837012
Chemise|Tights,Lingerie|Sunglasses,0.08288357748650732,0.08219517568014098,0.01861438484414583,0.22458471760797344,2.732334540921663,1.0,0.011801754631643784,1.1836300433602294,0.6913109282155747,0.12709155856363977,0.15514141803879763,0.22552518962475723
Lingerie|Sunglasses,Chemise|Tights,0.08219517568014098,0.08288357748650732,0.01861438484414583,0.22646566164154103,2.7323345409216624,1.0,0.011801754631643784,1.1856182421839652,0.6907924087230486,0.12709155856363977,0.156558186758368,0.22552518962475723
Sunglasses|Tights,Chemise|Lingerie,0.08315893820905386,0.08249807247494217,0.01861438484414583,0.223841059602649,2.71328835798725,1.0,0.011753932732836068,1.1821057257362093,0.6887164511827211,0.12659176029962546,0.15405197840725693,0.22473761925392796
Skirt|Stockings,Dressing Gown|Sweatshirt,0.08288357748650732,0.0815893820905386,0.018339024121599296,0.22126245847176082,2.711902612845247,1.0,0.011576604249021887,1.1793583446704263,0.6883043194518605,0.12549462973431316,0.15208129529159195,0.22301732440969074
Chemise|Lingerie,Sunglasses|Tights,0.08249807247494217,0.08315893820905386,0.01861438484414583,0.22563417890520693,2.71328835798725,1.0,0.011753932732836068,1.1839895780714116,0.6882203769081598,0.12659176029962546,0.15539797096112132,0.22473761925392796
Dressing Gown|Sweatshirt,Skirt|Stockings,0.0815893820905386,0.08288357748650732,0.018339024121599296,0.22477219034762067,2.711902612845247,1.0,0.011576604249021887,1.1830282803254153,0.6873343826241618,0.12549462973431316,0.1547116695089231,0.22301732440969074
Chemise|Sunglasses,Lingerie|Tights,0.08489371076109704,0.08247053640268752,0.01861438484414583,0.21926694777813815,2.6587307096864325,1.0,0.011613154980463551,1.1752153453554277,0.6817576081520168,0.12513883746760457,0.14909211834911512,0.22248823181895222
Dressing Gown|Skirt,Stockings|Sweatshirt,0.08470095825531446,0.08169952637955721,0.018339024121599296,0.21651495448634595,2.65013720496331,1.0,0.011418995948245457,1.172071475874059,0.6802815450829891,0.12386088897154549,0.1468097120491211,0.22049205762739948
Lingerie|Tights,Chemise|Sunglasses,0.08247053640268752,0.08489371076109704,0.01861438484414583,0.22570951585976626,2.658730709686432,1.0,0.011613154980463551,1.181864310595306,0.6799571018791745,0.12513883746760457,0.15387917966970394,0.22248823181895222
Jewellery|Shawl,Pashmina|Trainers,0.08368212358189228,0.08252560854719683,0.01828395197708999,0.21849292530437642,2.6475772690536314,1.0,0.011378033803972598,1.1739809160526604,0.6791269866556409,0.12360387192851822,0.14819739714138283,0.22002390676296565
Pashmina|Trainers,Jewellery|Shawl,0.08252560854719683,0.08368212358189228,0.01828395197708999,0.2215548882215549,2.647577269053632,1.0,0.011378033803972598,1.1771130199850273,0.6782709185431662,0.12360387192851822,0.1504639036167319,0.22002390676296565
Stockings|Sweatshirt,Dressing Gown|Skirt,0.08169952637955721,0.08470095825531446,0.018339024121599296,0.224469160768453,2.6501372049633094,1.0,0.011418995948245457,1.180222623579523,0.6780580694641087,0.12386088897154549,0.1527022275110451,0.22049205762739948
